dataset,it,size,implementation,ari,ri,jaccard,peakmem
subsample_it_4_size_500000,4,495457,py,0.6288096277106019,0.939597937921567,1.0,
subsample_it_4_size_6000,4,5936,R,1.0,1.0,1.0,
subsample_it_4_size_6000,4,5936,jl,0.94035186086354,0.9876263406127023,0.9890601690701144,
subsample_it_4_size_6000,4,5936,jl32,0.9462140405045061,0.9888424577123692,0.9890601690701144,
subsample_it_4_size_6000,4,5936,py,0.751902448335127,0.9465609012278117,0.999000499750125,
subsample_it_4_size_75000,4,74305,R,1.0,1.0,1.0,
subsample_it_4_size_75000,4,74305,jl,0.5729399136296273,0.9257870927499798,0.9920318725099602,
subsample_it_4_size_75000,4,74305,jl32,0.6384867182481985,0.9401948172937148,0.9920318725099602,
subsample_it_4_size_75000,4,74305,py,0.6145071962234887,0.9294488972778526,1.0,
subsample_it_4_size_750000,4,743177,R,1.0,1.0,1.0,
subsample_it_4_size_750000,4,743177,jl,0.8088904366913857,0.968222036743789,0.9851116625310173,
subsample_it_4_size_750000,4,743177,jl32,0.6540273764761625,0.9495429099137396,0.9851116625310173,
subsample_it_4_size_750000,4,743177,py,0.6784349430726017,0.9401656505188981,1.0,
subsample_it_5_size_100000,5,99068,R,1.0,1.0,1.0,
subsample_it_5_size_100000,5,99068,jl,0.7410563776781992,0.9471426951023201,0.9870839542970691,
subsample_it_5_size_100000,5,99068,jl32,0.7687078111015493,0.9604529892841952,0.9870839542970691,
subsample_it_5_size_100000,5,99068,py,0.7108072263104658,0.9449143229307596,1.0,
subsample_it_5_size_12000,5,11882,R,1.0,1.0,1.0,
subsample_it_5_size_12000,5,11882,jl,0.7453141926481694,0.9496183474961352,0.9880715705765407,
subsample_it_5_size_12000,5,11882,jl32,0.9067012289780583,0.9805438323805273,0.9880715705765407,
subsample_it_5_size_12000,5,11882,py,0.6447026212832451,0.9277167035198587,1.0,
subsample_it_5_size_125000,5,123855,R,1.0,1.0,1.0,
subsample_it_5_size_125000,5,123855,jl,0.8082093381219217,0.9706459252727174,0.9920318725099602,
subsample_it_5_size_125000,5,123855,jl32,0.7628227976137542,0.9655272688447394,0.9920318725099602,
subsample_it_5_size_125000,5,123855,py,0.7133690009589423,0.9529836479767015,1.0,
subsample_it_5_size_25000,5,24764,R,1.0,1.0,1.0,
subsample_it_5_size_25000,5,24764,jl,0.7567278493247177,0.9506609754642971,0.9890601690701144,
subsample_it_5_size_25000,5,24764,jl32,0.761736355970178,0.951496054018358,0.9890601690701144,
subsample_it_5_size_25000,5,24764,py,0.659905007382924,0.9237133850253986,1.0,
subsample_it_5_size_250000,5,247700,R,1.0,1.0,1.0,
subsample_it_5_size_250000,5,247700,jl,0.7389104797720528,0.9582419524140724,0.9930244145490782,
subsample_it_5_size_250000,5,247700,jl32,0.6517433134147962,0.9384260544793073,0.9930244145490782,
subsample_it_5_size_250000,5,247700,py,0.7568506475309678,0.9564884440149755,1.0,
subsample_it_5_size_3000,5,2981,R,1.0,1.0,1.0,
subsample_it_5_size_3000,5,2981,jl,0.9582743952583951,0.9893225326396033,0.9960079840319361,
subsample_it_5_size_3000,5,2981,jl32,0.9753424942442959,0.9936542172011104,0.9960079840319361,
subsample_it_5_size_3000,5,2981,py,0.611746111791382,0.8936893389678253,1.0,
subsample_it_5_size_50000,5,49534,R,1.0,1.0,1.0,
subsample_it_5_size_50000,5,49534,jl,0.8516585545480119,0.9770182237919995,0.9860973187686196,
subsample_it_5_size_50000,5,49534,jl32,0.7472392704061213,0.9610573635129263,0.9860973187686196,
subsample_it_5_size_50000,5,49534,py,0.6166980143237626,0.9315147157578525,1.0,
subsample_it_5_size_500000,5,495421,R,1.0,1.0,1.0,
subsample_it_5_size_500000,5,495421,jl,0.7023267840568367,0.9538341273951052,0.9910403185664509,
subsample_it_5_size_500000,5,495421,jl32,0.766419330894279,0.9647862573593982,0.9910403185664509,
subsample_it_5_size_500000,5,495421,py,0.6775690681227592,0.9450382253904788,1.0,
subsample_it_5_size_6000,5,5938,R,1.0,1.0,1.0,
subsample_it_5_size_6000,5,5938,jl,0.8385101381891097,0.965386019920743,0.9940179461615155,
subsample_it_5_size_6000,5,5938,jl32,0.954307088166764,0.9901940511215978,0.9940179461615155,
subsample_it_5_size_6000,5,5938,py,0.638819451496939,0.9117828248591802,1.0,
subsample_it_5_size_75000,5,74334,R,1.0,1.0,1.0,
subsample_it_5_size_75000,5,74334,jl,0.7730736568048886,0.9635595136068609,0.9870839542970691,
subsample_it_5_size_75000,5,74334,jl32,0.8133008331269304,0.9683781675401757,0.9870839542970691,
subsample_it_5_size_75000,5,74334,py,0.5900421367257064,0.9216501432536619,1.0,
subsample_it_5_size_750000,5,743143,R,1.0,1.0,1.0,
subsample_it_5_size_750000,5,743143,jl,0.6769111574475574,0.9516884553402934,0.9900497512437811,
subsample_it_5_size_750000,5,743143,jl32,0.6988875362599491,0.9580966432331219,0.9900497512437811,
subsample_it_5_size_750000,5,743143,py,0.6441899698664627,0.9361128250608591,1.0,
