dataset,size,implementation,dims,k,resolution,tables,time,purity,classpurity,clusters,ari,ri,avgsilh,seed
3k,2700,scanpy,20,20,0.4,40,0.921032215,,,1,,,0.2586238435488438,1
3k,2700,scanpy,20,20,0.4,40,0.83829073,,,1,,,0.2547980031425171,2
3k,2700,scanpy,20,20,0.4,40,0.912156004,,,1,,,0.25381102610109063,3
3k,2700,scanpy,20,20,0.4,40,0.842269212,,,1,,,0.25587732800748547,4
3k,2700,scanpy,20,20,0.5,40,0.917554162,,,5,,,0.23397436315689216,0
3k,2700,scanpy,20,20,0.5,40,0.995458184,,,1,,,0.257992319306676,1
3k,2700,scanpy,20,20,0.5,40,0.820778119,,,1,,,0.2640114190399189,2
3k,2700,scanpy,20,20,0.5,40,0.941231337,,,1,,,0.23416536344536343,3
3k,2700,scanpy,20,20,0.5,40,0.82163345,,,1,,,0.17667605740094572,4
3k,2700,scanpy,20,20,0.6,40,0.970364394,,,1,,,0.1086784410588789,1
3k,2700,scanpy,20,20,0.6,40,0.824608378,,,1,,,0.12454965623469438,2
3k,2700,scanpy,20,20,0.6,40,0.936766295,,,1,,,0.1281647532598376,3
3k,2700,scanpy,20,20,0.6,40,0.844834592,,,1,,,0.13584676562447173,4
3k,2700,scanpy,20,20,0.7,40,0.8900541,,,1,,,0.14444356158739663,1
3k,2700,scanpy,20,20,0.7,40,0.89116359,,,1,,,0.153165509230575,2
3k,2700,scanpy,20,20,0.7,40,0.913159836,,,1,,,0.1584734244502329,3
3k,2700,scanpy,20,20,0.7,40,0.869784198,,,1,,,0.14819127687858277,4
3k,2700,scanpy,20,20,0.8,40,0.905232889,,,8,,,0.15365147018515743,0
3k,2700,scanpy,20,20,0.8,40,0.955133115,,,1,,,0.14436907555597067,1
3k,2700,scanpy,20,20,0.8,40,0.834661299,,,1,,,0.15328058162369876,2
3k,2700,scanpy,20,20,0.8,40,0.910681232,,,1,,,0.1580681531958694,3
3k,2700,scanpy,20,20,0.8,40,0.854750121,,,1,,,0.15021824378816354,4
3k,2700,scanpy,20,20,0.9,40,0.973221559,,,8,,,0.1523191681510165,0
3k,2700,scanpy,20,20,0.9,40,0.880659256,,,1,,,0.14522457646782658,1
3k,2700,scanpy,20,20,0.9,40,0.859482221,,,1,,,0.15309904838770086,2
3k,2700,scanpy,20,20,0.9,40,0.919452148,,,1,,,0.1574023718287563,3
3k,2700,scanpy,20,20,0.9,40,0.86834326,,,1,,,0.15333908266360202,4
3k,2700,scanpy,20,20,1.0,40,0.909473646,,,8,,,0.15274930216538338,0
3k,2700,scanpy,20,20,1.0,40,0.879886994,,,1,,,0.12567231836781478,1
3k,2700,scanpy,20,20,1.0,40,0.912120794,,,1,,,0.12678961245911183,2
3k,2700,scanpy,20,20,1.0,40,1.018581433,,,1,,,0.1239098898651562,3
3k,2700,scanpy,20,20,1.0,40,0.831645744,,,1,,,0.15196889047836798,4
3k,2700,scanpy,20,20,1.1,40,0.977404562,,,9,,,0.12412982659387008,0
3k,2700,scanpy,20,20,1.1,40,0.865203752,,,1,,,0.12343764568861561,1
3k,2700,scanpy,20,20,1.1,40,0.85145666,,,1,,,0.12336207719996706,2
3k,2700,scanpy,20,20,1.1,40,0.845785858,,,1,,,0.1239334467326343,3
3k,2700,scanpy,20,20,1.1,40,0.899040099,,,1,,,0.12354926227671871,4
3k,2700,scanpy,20,20,1.2,40,0.912716024,,,9,,,0.12498555958228394,0
3k,2700,scanpy,20,20,1.2,40,0.955588607,,,1,,,0.1253895934174333,1
3k,2700,scanpy,20,20,1.2,40,0.870957461,,,1,,,0.1226637722327323,2
3k,2700,scanpy,20,20,1.2,40,0.866036196,,,1,,,0.1264876263116795,3
3k,2700,scanpy,20,20,1.2,40,0.862579767,,,1,,,0.12159078770924901,4
3k,2700,scanpy,20,30,0.05,40,1.024929908,,,3,,,0.26013617655250626,0
3k,2700,scanpy,20,30,0.08,40,1.068668014,,,3,,,0.26013617655250626,0
3k,2700,scanpy,20,30,0.1,40,1.079546972,,,3,,,0.26013617655250626,0
3k,2700,scanpy,20,30,0.1,40,1.042324836,,,1,,,0.2656702135170167,1
3k,2700,scanpy,20,30,0.1,40,1.069103397,,,1,,,0.2656702135170167,2
